订单id,服务名称,服务内容,商家名称,商家ID,所属地区,所属经营单元,商家类型,合作商品渠道,合作商品类型,订单状态,签约模式,佣金状态,佣金策略,抽佣模式,所属行业,服务时间,服务时长,跟进人UID,跟进人昵称,跟进人岗位名称,订单取消原因
7602645718336555048,平台代运营服务,代运营,怪得劲可视采耳(胖东来店),7602841339981613097,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-休娱行业,2026-02-05 ~ 2027-02-04,365天,2007087309661498,禹州（龙）杨双雨,禹州BD,
7602566517713061922,平台代运营服务,代运营,禹州市鲜客商贸有限公司,7348720172792645682,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-02-03 ~ 2027-02-02,365天,594189119140639,主账号,owner,
7602525069746849838,平台代运营服务,代运营,经典女人,7602545105354115135,许昌市-襄城县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-进场零售行业,2026-02-04 ~ 2027-02-03,365天,1250604322671715,襄县（龙）黄炬,襄县BD,
7602512161063356454,平台代运营服务,代运营,汝水茶方,7602106109528164390,许昌市-襄城县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-02-03 ~ 2027-02-02,365天,1080153489292476,襄县（龙）-郝世博,襄县BD,
7602151565038192675,平台代运营服务,代运营,云雀棋牌娱乐,7599972180759250990,许昌市-襄城县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-休娱行业,2026-02-03 ~ 2027-02-02,365天,1080153489292476,襄县（龙）-郝世博,襄县BD,
7602166395602421806,平台代运营服务,代运营,老街纸包鱼,7602156147855869990,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-02-03 ~ 2027-02-01,364天,161006933772791,禹州（龙）-周进,禹州BD,
7602173365377353728,平台代运营服务,代运营,叁雀一24h 自助棋牌,7305260390126979098,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,未设置,商品自定义比例抽佣,固定抽佣,综合-休娱行业,2026-02-02 ~ 2027-02-01,365天,1715711029027582,禹州（龙）-徐世博,禹州BD,
7602151565038159907,平台代运营服务,代运营,三鲜厨房·渔生,7602169309233727522,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-02-03 ~ 2027-02-01,364天,161006933772791,禹州（龙）-周进,禹州BD,
7602139145096136738,平台代运营服务,代运营,秋波里爆蛋豆腐虾,7456996750306363403,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-02-02 ~ 2027-02-01,365天,4388887347861192,鄢陵（龙）-梁艳聪,鄢陵BD,
7602114105213749300,平台代运营服务,代运营,童芯服装店,7598391222823176207,许昌市-襄城县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-进场零售行业,2026-02-02 ~ 2027-02-01,365天,3101044949653036,襄县（龙）-刘一航,襄县BD,
7602096621660801059,平台代运营服务,代运营,牛肉直销,7601814409480128539,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,未设置,商品自定义比例抽佣,固定抽佣,餐饮行业,2026-02-03 ~ 2027-02-02,365天,1715711029027582,禹州（龙）-徐世博,禹州BD,
7602115566069123098,平台代运营服务,代运营,锦和足浴按摩,7519734142775380003,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-休娱行业,2026-02-03 ~ 2027-02-01,364天,42234682544713,禹州（龙）-宋明阳,禹州BD,
7602083814345115689,平台代运营服务,代运营,小阿雪,7594400470896330787,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-02-02 ~ 2027-02-01,365天,2007087309661498,禹州（龙）杨双雨,禹州BD,
7601965689754847238,平台代运营服务,代运营,襄城县勾记羊肉锅烩店,7200261538605697084,许昌市-襄城县,许昌2区（新）,总部账户,,,等待服务,区域服务模式,已设置,商品自定义比例抽佣,固定抽佣,餐饮行业,2026-02-15 ~ 2027-02-14,365天,7030138740922,禹州业务-孙帅兵,禹州运营岗,
7602074984882145299,平台代运营服务,代运营,二五八萬,7602143956733888518,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-休娱行业,2026-02-03 ~ 2027-02-01,364天,2414976262742628,鄢陵（龙）-张跃辉,鄢陵BD,
7602087719565330482,平台代运营服务,代运营,爱尚足道,7602113329066248235,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-休娱行业,2026-02-03 ~ 2027-02-02,365天,1715711029027582,禹州（龙）-徐世博,禹州BD,
7601780960791939087,平台代运营服务,代运营,清真丰源烩面碳锅鸡碳锅鱼,7601825870306641983,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-02-02 ~ 2027-02-01,365天,2007087309661498,禹州（龙）杨双雨,禹州BD,
7601490469864441856,平台代运营服务,代运营,禹州爱佳区域,7535698368540575807,许昌市-禹州市,许昌2区（新）,区域账户,,,服务中,区域服务模式,已设置,商品自定义比例抽佣,固定抽佣,综合-LE行业,2026-02-01 ~ 2027-01-31,365天,1047164562455736,刘梦,行政运营,
7601503174574999588,平台代运营服务,代运营,帅禹按摩足疗,7455211785157167119,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-休娱行业,2026-02-01 ~ 2027-01-31,365天,7030138740922,禹州业务-孙帅兵,禹州运营岗,
7601404509478422574,平台代运营服务,代运营,云悦台球俱乐部,7449276710668863507,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,未设置,商品自定义比例抽佣,固定抽佣,综合-LE行业,2026-01-31 ~ 2027-01-30,365天,1715711029027582,禹州（龙）-徐世博,禹州BD,
7601353975166142473,平台代运营服务,代运营,回头客生活超市(颖河大街总店),7431528470838855719,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,未设置,商品自定义比例抽佣,固定抽佣,综合-进场零售行业,2026-01-31 ~ 2027-01-30,365天,1715711029027582,禹州（龙）-徐世博,禹州BD,
7601181787755153414,平台代运营服务,代运营,亚飞批发,7579524515403974662,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-进场零售行业,2026-02-01 ~ 2027-01-31,365天,617291016863258,禹州（龙）付禹博,禹州BD,
7601367223748855835,平台代运营服务,代运营,鲨鲨舫潮童馆(鄢陵鼓楼广场店),7384647731325569060,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-进场零售行业,2026-02-01 ~ 2027-01-31,365天,3996100405240244,鄢陵（龙）张帅豪,鄢陵BD,
7601074080967985190,平台代运营服务,代运营,晓雨超市(人民路店),7458617158809995301,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-进场零售行业,2026-01-31 ~ 2027-01-01,336天,2414976262742628,鄢陵（龙）-张跃辉,鄢陵BD,
7601105807656257545,平台代运营服务,代运营,张歌特色炒鸡羊肉烩面,7601287822565312552,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-02-01 ~ 2027-01-31,365天,3996100405240244,鄢陵（龙）张帅豪,鄢陵BD,
7600719089681860642,平台代运营服务,代运营,康明眼视光验配中心(二店),7588346008719984680,许昌市-襄城县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-进场零售行业,2026-01-31 ~ 2027-01-29,364天,1250604322671715,襄县（龙）黄炬,襄县BD,
7600704081875109923,平台代运营服务,代运营,泰發购物广场,7425634976902711330,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,未设置,商品自定义比例抽佣,固定抽佣,综合-进场零售行业,2026-01-30 ~ 2027-01-29,365天,1715711029027582,禹州（龙）-徐世博,禹州BD,
7600682462229956649,平台代运营服务,代运营,老相好江湖菜,7574272666052593704,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-01-29 ~ 2027-01-28,365天,2007087309661498,禹州（龙）杨双雨,禹州BD,
7600673254898173998,平台代运营服务,代运营,聚合麻婆炒鸡,7581389443082291226,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-01-29 ~ 2027-01-28,365天,2007087309661498,禹州（龙）杨双雨,禹州BD,
7600668305003186217,平台代运营服务,代运营,鄢陵县逗号美业化妆品销售店,7280357450585212943,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-丽人行业,2026-01-29 ~ 2027-01-28,365天,3996100405240244,鄢陵（龙）张帅豪,鄢陵BD,
7600424048758392867,平台代运营服务,代运营,圣佳车服,7281409947399620664,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-LE行业,2026-01-29 ~ 2027-01-28,365天,1715711029027582,禹州（龙）-徐世博,禹州BD,
7600611543331555374,平台代运营服务,代运营,韵康藏式养生保健中心,7598440416886720564,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-休娱行业,2026-01-30 ~ 2027-01-29,365天,2007087309661498,禹州（龙）杨双雨,禹州BD,
7600319854462208040,平台代运营服务,代运营,仓满星海动漫城,7600351874474149894,许昌市-襄城县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-休娱行业,2026-01-29 ~ 2027-01-28,365天,1250604322671715,襄县（龙）黄炬,襄县BD,
7600298021045536774,平台代运营服务,代运营,鲜肉·熟食店,7600310220003002406,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-01-29 ~ 2027-01-28,365天,2007087309661498,禹州（龙）杨双雨,禹州BD,
7600029927845857286,平台代运营服务,代运营,星点台球俱乐部,7599948799343216694,许昌市-襄城县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-LE行业,2026-01-29 ~ 2027-01-28,365天,3101044949653036,襄县（龙）-刘一航,襄县BD,
7599990978556332075,平台代运营服务,代运营,花城小院·农家菜,7483456801757857833,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-01-29 ~ 2027-01-01,338天,2414976262742628,鄢陵（龙）-张跃辉,鄢陵BD,
7599911751346014254,平台代运营服务,代运营,金源耳道,7598092567120529446,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-休娱行业,2026-01-28 ~ 2027-01-27,365天,2007087309661498,禹州（龙）杨双雨,禹州BD,
7599912194994833417,平台代运营服务,代运营,苏公子洗脸吧,7598457920477317155,许昌市-鄢陵县,许昌2区（新）,总部账户,,,订单终止,区域服务模式,,统一比例抽佣,固定抽佣,综合-丽人行业,2026-01-28 ~ 2027-01-27,365天,4388887347861192,鄢陵（龙）-梁艳聪,鄢陵BD,商户取消了本次合作
7599869419841947658,平台代运营服务,代运营,生鲜超市,7598362846946232361,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-进场零售行业,2026-01-27 ~ 2027-01-26,365天,3996100405240244,鄢陵（龙）张帅豪,鄢陵BD,
7599870178646919168,平台代运营服务,代运营,梦莎音乐酒吧,7598076474968541218,许昌市-襄城县,许昌2区（新）,总部账户,,,订单终止,区域服务模式,,统一比例抽佣,固定抽佣,综合-休娱行业,2026-01-28 ~ 2027-01-27,365天,1080153489292476,襄县（龙）-郝世博,襄县BD,商户取消了本次合作
7599848488630814754,平台代运营服务,代运营,牛晓妞爆汁大翅根,7523533756313929779,许昌市-襄城县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-01-27 ~ 2027-01-26,365天,3101044949653036,襄县（龙）-刘一航,襄县BD,
7599856994255095835,平台代运营服务,代运营,万客隆烟酒商贸,7452220889820612623,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-进场零售行业,2026-01-27 ~ 2027-01-01,340天,42234682544713,禹州（龙）-宋明阳,禹州BD,
7599641744406546482,平台代运营服务,代运营,景灿购物广场(兴业路店),7444075446902032395,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-进场零售行业,2026-01-27 ~ 2027-01-01,340天,42234682544713,禹州（龙）-宋明阳,禹州BD,
7599599180307728411,平台代运营服务,代运营,TATA桌球,7599597038279460910,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-LE行业,2026-01-27 ~ 2027-01-26,365天,4388887347861192,鄢陵（龙）-梁艳聪,鄢陵BD,
7599580242416338954,平台代运营服务,代运营,秋波里爆蛋豆腐虾,7456996750306363403,许昌市-鄢陵县,许昌2区（新）,总部账户,,,订单取消,区域服务模式,,统一比例抽佣,固定抽佣,餐饮行业,2026-01-26 ~ 2027-01-25,365天,3318757911701300,鄢陵运营-裴素艳,操盘手,该订单已超过服务开始时间
7599579595991156778,平台代运营服务,代运营,云境游乐园,7599499737657591817,许昌市-鄢陵县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,酒旅行业,2026-01-27 ~ 2027-01-01,340天,2414976262742628,鄢陵（龙）-张跃辉,鄢陵BD,
7599562795755767842,平台代运营服务,代运营,烟囱面包(禹州总店),7598482507826333730,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,未设置,商品自定义比例抽佣,固定抽佣,餐饮行业,2026-01-27 ~ 2027-01-26,365天,1715711029027582,禹州（龙）-徐世博,禹州BD,
7599562677845002275,平台代运营服务,代运营,老家地锅(襄城一分店),7238604297485682748,许昌市-襄城县,许昌2区（新）,总部账户,,,服务中,区域服务模式,未设置,商品自定义比例抽佣,固定抽佣,餐饮行业,2026-01-26 ~ 2027-01-25,365天,1250604322671715,襄县（龙）黄炬,襄县BD,
7599550133793966123,平台代运营服务,代运营,王洛卤肘王,7261894628905846818,许昌市-襄城县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-01-26 ~ 2027-01-25,365天,7030138740922,禹州业务-孙帅兵,禹州运营岗,
7599562470517377062,平台代运营服务,代运营,红辣椒饸饹面涮牛肚,7599489794875410438,许昌市-襄城县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-01-27 ~ 2027-01-26,365天,7030138740922,禹州业务-孙帅兵,禹州运营岗,
7599492014757251072,平台代运营服务,代运营,川湘人家(烟城路店),7145713079282567202,许昌市-襄城县,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,餐饮行业,2026-01-26 ~ 2027-01-25,365天,3101044949653036,襄县（龙）-刘一航,襄县BD,
7599492014757152768,平台代运营服务,代运营,三温暖瑜伽足道(禹州店),7595949862739363892,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-休娱行业,2026-01-26 ~ 2027-01-25,365天,1389428445036670,王战洋,操盘手,
7598918466403403791,平台代运营服务,代运营,凤凰熙宴酒店,7467503097368922150,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,未设置,商品自定义比例抽佣,固定抽佣,餐饮行业,2026-02-06 ~ 2027-02-05,365天,1715711029027582,禹州（龙）-徐世博,禹州BD,
7599097596854634538,平台代运营服务,代运营,弹珠侠,7594468788033062966,许昌市-鄢陵县,许昌2区（新）,总部账户,,,订单终止,区域服务模式,,统一比例抽佣,固定抽佣,综合-休娱行业,2026-01-26 ~ 2027-01-25,365天,4388887347861192,鄢陵（龙）-梁艳聪,鄢陵BD,商户取消了本次合作
7598766496449824778,平台代运营服务,代运营,御湖湾马术俱乐部,7453283090782357543,许昌市-禹州市,许昌2区（新）,总部账户,,,服务中,区域服务模式,已设置,统一比例抽佣,固定抽佣,综合-休娱行业,2026-01-24 ~ 2027-01-23,365天,7030138740922,禹州业务-孙帅兵,禹州运营岗,
